Date,Day,GridPoint,Row,Col,TimeTaken,TimeSlot,Temperature_C,Humidity_pct,People,WindowsOpen,OutdoorTemp_C,VentilationType,CloudCover,Rainfall,ActiveElectronics,DoorStatus,SunSide,RoomLength_m,RoomWidth_m,CeilingHeight_m,GridSize,WindowWidth_m,WindowHeight_m,WindowCount,ReadingHeight_m,FloorMaterial,WallMaterial
2026-03-05,Thursday,B3,B,3,14:08,Afternoon,33.1,69,28,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,B4,B,4,14:12,Afternoon,33.1,70,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C1,C,1,14:18,Afternoon,33.1,69,34,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C2,C,2,14:20,Afternoon,33.1,69,28,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C3,C,3,14:23,Afternoon,33.1,62,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,C4,C,4,14:25,Afternoon,33.4,66,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D1,D,1,14:28,Afternoon,33.8,62,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D2,D,2,14:29,Afternoon,33.8,64,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D3,D,3,14:32,Afternoon,33.8,61,30,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
2026-03-05,Thursday,D4,D,4,14:33,Afternoon,33.9,60,32,0,34,Natural only,Partly Cloudy,No,17,Partially Open,Right wall windows,11.3,6.64,2.65,4x4,0.6,1.9,12,1.0,Carpet,Concrete/Block
